Moisture (%),Foreign Matter (%),Broken (%),Red & Chalky grains (%),Damaged Grain (%),Discolored grain(%)/ 1mm/ Shrivelled,Mixed ( lower class) (%) (Other Grain),Final Value,outcome
12.2,0,10.68,1.89,0.94,1.35,3.11,7.4674,A
12.5,0,12.6,3.2,1.5,2,4.1,8,A
12.8,0,13.5,2.9,0.9,1.7,3.9,8.162,A
12.9,0,8.67,4.05,0.8,2.03,2.92,7.8512,A
12.5,0,8.5,3.06,0.7,1.04,4.2,7.4896,A
12.5,0.1,20.36,3.17,1.28,2.262,2.8,8.79028,B
12.7,0,10.34,1.4,0.5,1,3.5,7.594,A
12.3,0,14.87,3.6,1.3,0.86,3,8.1094,A
12.8,0.5,13.2,4,1.8,1.5,3.5,8.388,B
12.7,0,14,4.5,2,1.5,2.9,8.38,B
12.5,0,13.2,3.82,1.8,2,4,8.14,A
12.6,0,9.48,2.75,0.82,2.14,3.1,7.6578,A
12.3,0,10,4,1.5,2.5,2.3,7.74,A
12.8,0,8.61,2,1.5,2,2.5,7.631,A
12.5,0,10.5,2.7,1.8,2.5,4,7.778,A
12.7,0,10.2,2.8,2,2.9,3,7.886,A
13,0,7.3,3,0.74,1.5,2.75,7.6344,A
12.8,0,14,3,1.42,1.2,2.8,8.2332,B
10.8,0.02,21.79,3.5,1.5,2.8,0,8.135,A
12.4,0,19,5.25,0.6,1.42,0,8.7178,B
12.5,0,12.22,5.804,0.9,1.5,0,8.1664,A
11.3,0,17.78,5.22,1.2,3.98,0,8.1812,A
11.5,0,16.7,2.8,0.9,1.5,2.5,7.814,A
10.8,0,17.76,3.2,0.7,0.8,2,7.57,A
10.9,0,14,2.5,0.8,0.9,1.4,7.184,A
11.2,0,14.5,3.4,2,1.73,3.2,7.5792,A
12.2,0,13.5,3,1.5,1.2,3.08,7.888,A
12,0,10.2,3.5,0.8,1.5,3.92,7.478,A
11.7,0,16.8,2.5,0.8,1.5,0.9,7.888,A
12.8,0,14.5,3.5,1.8,2.5,1.8,8.408,B
12.1,0,16.2,3.2,1.5,1.2,3.5,8.128,A
12.2,0,18.2,3.2,0.8,0.7,3.4,8.316,B
11.9,0,17.6,3.2,1.2,1.1,3.5,8.146,A
11.8,0,16.5,4,1.02,1.23,3.2,8.0604,A
12.5,0,15.2,3.5,1.5,1.8,3.2,8.282,B
12.7,0,18.2,4,1.2,1.2,3.6,8.69,B
12.2,0,18.5,3.6,1.8,1.8,3.2,8.49,B
11.1,0.1,17.83,3,1.02,0.93,5.8,7.7514,A
11.9,0.2,18.2,3.2,0.9,1.2,3.8,8.232,B
12,0.1,19.1,3.5,0.8,1.5,4.2,8.388,B
12.1,0.2,18.6,3.1,1.2,1.1,4.5,8.376,B
11.1,0.1,14.46,2.8,1.8,0.8,3.2,7.436,A
12.2,0.17,18.7,3.6,1.8,1.7,4.7,8.54,B
12.8,0,12.8,3.5,0.8,1.2,3.8,8.126,A
11.8,0,14.2,3.6,0.9,1.2,3.5,7.782,A
12.6,0,15.1,3.2,1.5,0.8,4.2,8.252,B
11.8,0,12.8,3.1,1.2,0.7,4.5,7.59,A
11.7,0,12.7,4,1.8,0.9,3.2,7.664,A
11.5,0,10.55,2.8,0.8,1.2,4.1,7.181,A
11.6,0,11.8,3.6,1.2,1.8,3.2,7.484,A
12.5,0.1,17.72,2.5,0.49,0.9,2.14,8.3574,B
12.9,0.1,17.34,1.9,0.5,0.4,2.8,8.44,B
12.8,0.1,17.5,2.5,0.9,0.8,3.2,8.506,B
12.2,0.2,16.2,3.2,0.9,0.8,3.5,8.166,A
12.8,0.1,18.2,3.5,1.2,1.1,2.5,8.706,B
11.6,0,15.93,5.2,1.57,1.1,0,8.0512,A
12.5,0.1,14.8,3.2,0.8,0.9,3.4,8.154,A
12.1,0.2,18.84,2.8,0.5,0.9,2.5,8.32,B
13.8,0.14,15.97,4.5,0.71,2,8.5,9.0976,C
13.9,0.2,16.36,4.2,0.75,2,8.5,9.171,C
13.1,0.1,18.8,3.8,0.9,1.2,6.5,8.932,C
13.9,0.27,19.19,5.46,1.2,1.13,8.98,9.5862,C
13.5,0.4,14.85,5.7,1.7,0.9,6.5,9.023,C
13.9,0.26,18.98,5.68,1.12,1.47,8.92,9.594,C
13,0.3,15.5,5.2,1.8,1.6,9.1,8.802,B
13.9,0.31,19.13,5.68,1.24,1.51,8.79,9.6278,C
13.3,0.4,14.09,5.2,1.7,1.8,9.1,8.833,B
13.9,0.27,18.89,5.19,0.73,1.24,8.33,9.5054,C
13.3,0.3,15.87,4.9,0.9,1.8,9.1,8.913,C
13.5,0.31,19.13,5.19,0.42,1.19,8.79,9.3168,C
13.1,0.1,14.27,4.8,1.2,1.3,9.1,8.601,B
13.9,0.31,19.1,5.19,0.72,1.23,8.29,9.5334,B
13,0.2,14.2,4.3,0.9,1.2,9.1,8.492,B
13.8,0.24,18.79,5.12,0.72,0.97,8.71,9.421,C
13,0.1,14.2,4.1,0.9,1.2,7.2,8.452,B
13.8,0.19,18.98,5.61,0.29,0.92,8.42,9.4512,C
13,0.2,14.2,4.8,0.9,0.8,7.6,8.526,B
13.9,0.23,19.12,5.13,0.89,1.21,7.89,9.5228,C
12.9,0.1,14.2,4.3,1.8,1.2,4.9,8.476,B
13.9,0.32,19.21,5.76,0.89,1.32,8.92,9.6172,C
13,0.3,15.1,4.5,1.2,1.9,7.6,8.668,B
13.8,0.31,19.12,5.27,0.76,1.45,7.82,9.5046,C
12.7,0.3,14.5,4.2,1.2,1.8,8.1,8.424,B
13.8,0.24,18.98,5.27,0.49,1.21,8.39,9.4508,C
12.8,0.2,14.2,4.2,0.3,1.8,7.6,8.37,B
13.8,0.12,18.72,5.61,0.42,1.13,7.82,9.4274,C
13,0.3,14.2,5.8,0.12,1.9,8.2,8.6432,B
13.8,0.21,18.24,5.23,0.41,0.98,7.12,9.3528,C
12,0.4,16.2,4.11,1.1,0.8,8.2,8.209,B
13,0.26,8.56,1.07,0.99,0.6,2.35,7.5984,A
13.1,0.21,7.36,5.2,0.98,1.8,8.1,7.9788,A
12.9,0.26,0,1.89,0.7,1.07,2.3,6.7758,A
13,0.16,16.73,2.5,1.2,1.5,5.8,8.587,B
